Web Search interest: new mexico state
Worldwide; 2004 - present

Interest over time
Week,new mexico state
2004-01-04 - 2004-01-10,60
2004-01-11 - 2004-01-17,60
2004-01-18 - 2004-01-24,71
2004-01-25 - 2004-01-31,65
2004-02-01 - 2004-02-07,58
2004-02-08 - 2004-02-14,68
2004-02-15 - 2004-02-21,70
2004-02-22 - 2004-02-28,68
2004-02-29 - 2004-03-06,66
2004-03-07 - 2004-03-13,66
2004-03-14 - 2004-03-20,54
2004-03-21 - 2004-03-27,58
2004-03-28 - 2004-04-03,66
2004-04-04 - 2004-04-10,87
2004-04-11 - 2004-04-17,80
2004-04-18 - 2004-04-24,63
2004-04-25 - 2004-05-01,55
2004-05-02 - 2004-05-08,71
2004-05-09 - 2004-05-15,60
2004-05-16 - 2004-05-22,65
2004-05-23 - 2004-05-29,62
2004-05-30 - 2004-06-05,52
2004-06-06 - 2004-06-12,53
2004-06-13 - 2004-06-19,43
2004-06-20 - 2004-06-26,50
2004-06-27 - 2004-07-03,58
2004-07-04 - 2004-07-10,44
2004-07-11 - 2004-07-17,54
2004-07-18 - 2004-07-24,59
2004-07-25 - 2004-07-31,54
2004-08-01 - 2004-08-07,62
2004-08-08 - 2004-08-14,60
2004-08-15 - 2004-08-21,51
2004-08-22 - 2004-08-28,62
2004-08-29 - 2004-09-04,93
2004-09-05 - 2004-09-11,100
2004-09-12 - 2004-09-18,72
2004-09-19 - 2004-09-25,49
2004-09-26 - 2004-10-02,64
2004-10-03 - 2004-10-09,57
2004-10-10 - 2004-10-16,55
2004-10-17 - 2004-10-23,55
2004-10-24 - 2004-10-30,61
2004-10-31 - 2004-11-06,97
2004-11-07 - 2004-11-13,55
2004-11-14 - 2004-11-20,53
2004-11-21 - 2004-11-27,45
2004-11-28 - 2004-12-04,64
2004-12-05 - 2004-12-11,56
2004-12-12 - 2004-12-18,60
2004-12-19 - 2004-12-25,48
2004-12-26 - 2005-01-01,47
2005-01-02 - 2005-01-08,56
2005-01-09 - 2005-01-15,53
2005-01-16 - 2005-01-22,57
2005-01-23 - 2005-01-29,55
2005-01-30 - 2005-02-05,59
2005-02-06 - 2005-02-12,58
2005-02-13 - 2005-02-19,66
2005-02-20 - 2005-02-26,68
2005-02-27 - 2005-03-05,49
2005-03-06 - 2005-03-12,58
2005-03-13 - 2005-03-19,79
2005-03-20 - 2005-03-26,65
2005-03-27 - 2005-04-02,47
2005-04-03 - 2005-04-09,59
2005-04-10 - 2005-04-16,73
2005-04-17 - 2005-04-23,67
2005-04-24 - 2005-04-30,67
2005-05-01 - 2005-05-07,55
2005-05-08 - 2005-05-14,55
2005-05-15 - 2005-05-21,58
2005-05-22 - 2005-05-28,56
2005-05-29 - 2005-06-04,46
2005-06-05 - 2005-06-11,43
2005-06-12 - 2005-06-18,51
2005-06-19 - 2005-06-25,40
2005-06-26 - 2005-07-02,52
2005-07-03 - 2005-07-09,39
2005-07-10 - 2005-07-16,52
2005-07-17 - 2005-07-23,60
2005-07-24 - 2005-07-30,45
2005-07-31 - 2005-08-06,55
2005-08-07 - 2005-08-13,50
2005-08-14 - 2005-08-20,58
2005-08-21 - 2005-08-27,49
2005-08-28 - 2005-09-03,57
2005-09-04 - 2005-09-10,66
2005-09-11 - 2005-09-17,75
2005-09-18 - 2005-09-24,70
2005-09-25 - 2005-10-01,49
2005-10-02 - 2005-10-08,50
2005-10-09 - 2005-10-15,45
2005-10-16 - 2005-10-22,46
2005-10-23 - 2005-10-29,59
2005-10-30 - 2005-11-05,51
2005-11-06 - 2005-11-12,52
2005-11-13 - 2005-11-19,50
2005-11-20 - 2005-11-26,40
2005-11-27 - 2005-12-03,48
2005-12-04 - 2005-12-10,48
2005-12-11 - 2005-12-17,41
2005-12-18 - 2005-12-24,36
2005-12-25 - 2005-12-31,38
2006-01-01 - 2006-01-07,48
2006-01-08 - 2006-01-14,46
2006-01-15 - 2006-01-21,49
2006-01-22 - 2006-01-28,52
2006-01-29 - 2006-02-04,50
2006-02-05 - 2006-02-11,56
2006-02-12 - 2006-02-18,50
2006-02-19 - 2006-02-25,50
2006-02-26 - 2006-03-04,50
2006-03-05 - 2006-03-11,55
2006-03-12 - 2006-03-18,42
2006-03-19 - 2006-03-25,54
2006-03-26 - 2006-04-01,42
2006-04-02 - 2006-04-08,48
2006-04-09 - 2006-04-15,63
2006-04-16 - 2006-04-22,49
2006-04-23 - 2006-04-29,53
2006-04-30 - 2006-05-06,48
2006-05-07 - 2006-05-13,51
2006-05-14 - 2006-05-20,47
2006-05-21 - 2006-05-27,41
2006-05-28 - 2006-06-03,40
2006-06-04 - 2006-06-10,44
2006-06-11 - 2006-06-17,44
2006-06-18 - 2006-06-24,38
2006-06-25 - 2006-07-01,36
2006-07-02 - 2006-07-08,37
2006-07-09 - 2006-07-15,52
2006-07-16 - 2006-07-22,44
2006-07-23 - 2006-07-29,43
2006-07-30 - 2006-08-05,42
2006-08-06 - 2006-08-12,44
2006-08-13 - 2006-08-19,45
2006-08-20 - 2006-08-26,48
2006-08-27 - 2006-09-02,52
2006-09-03 - 2006-09-09,54
2006-09-10 - 2006-09-16,56
2006-09-17 - 2006-09-23,47
2006-09-24 - 2006-09-30,45
2006-10-01 - 2006-10-07,40
2006-10-08 - 2006-10-14,44
2006-10-15 - 2006-10-21,44
2006-10-22 - 2006-10-28,39
2006-10-29 - 2006-11-04,42
2006-11-05 - 2006-11-11,55
2006-11-12 - 2006-11-18,40
